Chartmetric ID,Artista,País,Región,Continente,Pronombres,Solista/Grupo,Géneros,Puntuación en Chartmetric,Clasificación en Chartmetric,Rango de Engagement,Clasificación por base de fans,Etapa de la carrera,Momentum Reciente,Seguidores en TikTok,Me gusta en TikTok,Tasa de Participación en TikTok,Publicaciones de TikTok,Vistas en TikTok,Conteo de Shazam,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify,Suscriptores al canal de YouTube,Vistas del canal de YouTube,Engagement en YouTube,Conteo de playlists en YouTube,Fans en Deezer,Conteo de playlists en Deezer,Alcance de playlists en Deezer,Seguidores en SoundCloud,Streams en SoundCloud,Conteo de playlists en iTunes,Conteo de playlists en Amazon,Seguidores en Instagram,Engagement en Instagram,Apariciones en radio,Seguidores de Facebook,Visualizaciones en Wikipedia,Songkick Fans,Visitas a la página de Genius,Enlace de Spotify,Primera fecha de lanzamiento,Última fecha de lanzamiento
492621,One Path,España,Southern Europe,Europe,He/Him,Desconocido,"Latin Hip-Hop/Rap, Latin Pop, R&B/Soul, Latin",657,114112.0,126751.0,83197.0,Developing,Steady,-1.0,-1.0,-1.0,347.0,330699.0,23451.0,26404.0,41740.0,0.632583,26.0,572408.0,7673.0,26100.0,7216560.0,-1.0,2.0,423.0,2.0,255.0,,,5.0,,12496.0,2.4226,110.0,2509716.0,,3590.0,-1.0,https://open.spotify.com/artist/5muknVI7xdVX2rt1L6V5Xq,"Jan 1, 2016","May 10, 2024"
233190,SacrificioyPasta,España,Southern Europe,Europe,He/Him,Desconocido,"Latin Hip-Hop/Rap, Latin",275,215502.0,203385.0,227106.0,Developing,Growth,-1.0,-1.0,-1.0,30.0,16938.0,29280.0,12018.0,40244.0,0.298628,28.0,299455.0,7444.0,,,-1.0,,100.0,,,,,,,32.0,53.125,-1.0,3018.0,,,19057.0,"https://open.spotify.com/artist/06t9Cb3fkgycnXAjgbSsGc, https://open.spotify.com/artist/6FWoWEnHUoxQzhYlzSzKI5","Mar 11, 2016","Jun 10, 2022"
720015,LFAM,España,Southern Europe,Europe,He/Him,Grupo,Hip-Hop/Rap,454,149059.0,221310.0,75306.0,Developing,Growth,-1.0,-1.0,-1.0,94.0,4202544.0,13901.0,17123.0,34149.0,0.50142,29.0,80184.0,3308.0,214000.0,5130476.0,-1.0,,,,,,,,,-1.0,-1.0,3.0,-1.0,,,-1.0,https://open.spotify.com/artist/2mRSuQoUY5zLg5hu0fxFRo,"Jan 16, 2014","Feb 22, 2024"
4848525,SuperGloo,España,Southern Europe,Europe,He/Him,Desconocido,"Hip-Hop/Rap, Dance, Rock",287,208768.0,187415.0,290764.0,Developing,Decline,-1.0,-1.0,-1.0,126.0,263166.0,5264.0,5903.0,32455.0,0.181883,27.0,78748.0,4276.0,,,-1.0,,7.0,,,,,,,-1.0,-1.0,-1.0,-1.0,,,-1.0,https://open.spotify.com/artist/0JzQj13ERZ6ABFauXFdLyP,"Dec 10, 2012","Apr 10, 2024"
508655,Afrojuice 195,España,Southern Europe,Europe,He/Him,Grupo,"Latin Hip-Hop/Rap, Latin",256,226189.0,255135.0,140390.0,Developing,Steady,-1.0,-1.0,-1.0,28098.0,55063327.0,71579.0,46115.0,31766.0,1.451709,23.0,710076.0,7562.0,76700.0,19221323.0,-1.0,1.0,509.0,,,552.0,,4.0,,29255.0,1.2245,139.0,1532.0,,2854.0,-1.0,"https://open.spotify.com/artist/0mZl0OZ6A33sN5XKNOfwxH, https://open.spotify.com/artist/2IGraT3U2zm5LNUgKkERPh, https://open.spotify.com/artist/4zsSo50Ho4eLQWprgqidlP","Mar 10, 2017","Apr 15, 2024"
650329,Ivancano,España,Southern Europe,Europe,He/Him,Artistas solistas,"Latin Hip-Hop/Rap, Latin",283,210945.0,216783.0,172642.0,Developing,Growth,-1.0,-1.0,-1.0,91.0,62711.0,24982.0,31569.0,31254.0,1.010079,32.0,355250.0,8854.0,,,-1.0,,132.0,,,,,1.0,1.0,39287.0,2.5827,9.0,-1.0,2.0,,19057.0,https://open.spotify.com/artist/6OF5lzuoV1nvuS8qsNtpcZ,"Mar 11, 2016","May 4, 2024"
4003406,Cutemobb,España,Southern Europe,Europe,He/Him,Grupo,Hip-Hop/Rap,538,132422.0,123882.0,151392.0,Developing,Steady,-1.0,-1.0,-1.0,118.0,922278.0,9627.0,10778.0,28472.0,0.378547,26.0,245936.0,8492.0,,,-1.0,,261.0,,,,,1.0,,-1.0,-1.0,2.0,-1.0,,,-1.0,"https://open.spotify.com/artist/3x0ZxLJ8Jb6PBrsOYnrsQ3, https://open.spotify.com/artist/52oEhGNxNcLuACNqFo11Bw","Oct 23, 2020","Nov 6, 2020"
307524,Erik Urano,España,Southern Europe,Europe,He/Him,Desconocido,Hip-Hop/Rap,181,269522.0,249715.0,289396.0,Developing,Steady,-1.0,-1.0,-1.0,10.0,49518.0,11641.0,15835.0,28426.0,0.55706,26.0,85877.0,2651.0,6980.0,1012544.0,-1.0,,156.0,,,3006.0,,2.0,1.0,18306.0,5.275300000000001,152.0,2267.0,,654.0,-1.0,https://open.spotify.com/artist/4UGlbaxTr9BPv4YLD6iWRN,"Dec 15, 2014","Nov 17, 2023"
558649,Ante ciento veinte,España,Southern Europe,Europe,He/Him,Desconocido,"Hip-Hop/Rap, R&B/Soul, Pop",276,215032.0,245550.0,134194.0,Developing,Steady,-1.0,-1.0,-1.0,190.0,209780.0,10577.0,35445.0,26456.0,1.339772,23.0,556046.0,4889.0,130000.0,27305591.0,0.2438,,454.0,1.0,2910.0,,,,,21473.0,31.2855,1.0,-1.0,,580.0,-1.0,https://open.spotify.com/artist/2gZ16E7yFv3Hj1va4y9hDe,"Feb 3, 2017","Oct 27, 2023"
6124214,Chu4758,España,Southern Europe,Europe,He/Him,Desconocido,Dance,149,296956.0,250700.0,484534.0,Developing,Growth,-1.0,-1.0,-1.0,102.0,111234.0,855.0,483.0,24394.0,0.0198,19.0,38084.0,1422.0,,,-1.0,,,,,,,,,-1.0,-1.0,-1.0,-1.0,,,-1.0,https://open.spotify.com/artist/3J9XvutujwXo6jaeBcoHL3,"Jun 3, 2021","Mar 20, 2024"
