Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Alcance Spotify / Relación Seguidores,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
572915,Xema Fuentes,España,He/Him,Artistas solistas,K TU KIERES PAPI,"R&B/Soul, Hip-Hop/Rap, Pop",Developing,Steady,2121,137587,0.015416,,34,1256112,7727
429398,Gordo Master,España,He/Him,Artistas solistas,ACE Music,Hip-Hop/Rap,Developing,Growth,68677,95642,0.718063,,38,1043582,9363
415160,Humbert Humbert,España,,,SPACE SHOWER MUSIC,"Pop, J-Pop, Soundtracks",Developing,Steady,120305,105250,1.14304,,41,525816,4342
1712461,Moneo,España,,Artistas solistas,Warner Chappel,"Hip-Hop/Rap, Flamenco, Electronic",Developing,Steady,2610,176844,0.014759,,35,580347,12202
799393,Manuel España,España,,,Unknown Association,Pop,Developing,Steady,,,,,,575805,2240
132550,El Diluvi,España,,,"Halley Records, Halley Supernova","Pop, Rock, Singer/Songwriter",Developing,Growth,20158,34040,0.592186,,36,371802,6858
28994,Kinky Bwoy,España,,,"SpinHype, Spinhype","Latin Hip-Hop/Rap, Reggae, Flamenco, Latin",Developing,Growth,37968,154955,0.245026,,42,346179,6232
161917,JPelirrojo,España,,,Aven Loalto,Hip-Hop/Rap,Developing,Growth,50215,18679,2.688313,,23,124678,973
320167,David Bustamante,España,He/Him,,Unknown Association,"Pop, Electronic, Alternative",Developing,Growth,18153,24,756.375,,0,180422,592
59554,Juantxo Skalari & La Rude Band,España,,,Panda Artist,"Reggae, Latin",Developing,Growth,17863,76928,0.232204,,34,824304,3220
14854,Piem,España,He/Him,Artistas solistas,"elrow Music, Knee Deep In Sound","House, Dance, Electronic",Developing,Steady,8995,122726,0.073293,,32,2193099,20808
1333921,Julia Medina,España,,,UMG (Universal Music Spain),"Latin Pop, Singer/Songwriter, Latin",Developing,Steady,45564,102683,0.443735,,35,1035868,4453
38326,WAS,España,,,Unknown Association,"Dance, Electronic, Alternative",Developing,Growth,4526,3169,1.428211,,7,383622,1059
4167329,Sneaky wh,España,,,PussyLove,"Hip-Hop/Rap, Pop, Alternative",Developing,Growth,2139,132326,0.016165,,43,218493,3272
3618396,Yeico X Toni,España,,,Yeico x Toni,"Hip-Hop/Rap, Electronic, Dance",Developing,Steady,12304,148276,0.08298,,35,1565185,14639
385706,Kako M.,España,,,Distrokid,Hip-Hop/Rap,Developing,Steady,3110,1283,2.424006,,13,41634,415
479177,Golpes Bajos,España,,,Unknown Association,"Latin Pop, Latin",Developing,Growth,44586,109949,0.405515,,33,481190,4552
548641,Yero Company,España,,,"Planet Latin Music, YERO COMPANY","House, Latin Dance, Latin Hip-Hop/Rap, Latin",Developing,Explosive Growth,3751,297709,0.0126,,41,879744,3696
4343344,Omar Enfedaque,España,He/Him,Artistas solistas,JJxFile (on behalf of Sweet Avalancha),"New Age, Country",Developing,Steady,3826,32443,0.11793,,28,60538,636
3544619,JAVI BAMBINI CATTIVI,España,,,Javi Bambini,Hip-Hop/Rap,Developing,Growth,21276,130396,0.163165,,39,312683,11259
313571,Falete,España,He/Him,Artistas solistas,Unknown Association,"Latin Pop, Flamenco, Latin",Developing,Growth,46642,61146,0.762797,,31,462539,3683
497995,Fredi Leis,España,He/Him,Artistas solistas,Unknown Association,"Latin Pop, Singer/Songwriter, Latin Rock, Latin",Developing,Steady,48814,78487,0.621937,,37,1235382,9071
310476,Manta Ray,España,They/Them,Grupo,Unknown Association,"Rock, Electronic, Alternative",Developing,Steady,4833,4303,1.12317,,12,60485,673
821609,Nerso & Verse,España,,,"Nerso y Verse, Nerso & Verse",Hip-Hop/Rap,Developing,Growth,24221,150579,0.160852,,41,884612,7282
237143,Sublevados,España,They/Them,,BeatClap,"Latin Rock, Latin Pop, Latin, Punk",Developing,Growth,3697,32713,0.113013,,23,198525,894
3641842,Force,España,,,ILAI11,"Hip-Hop/Rap, Pop, Singer/Songwriter",Developing,Steady,3305,2045,1.616137,,8,6521,51
210451,Charly Rodriguez,España,,,Acreidy Music,"House, Latin Dance, Electronic, Latin",Developing,Growth,68475,128766,0.531779,,33,2049667,8961
1654018,ERRE,España,He/Him,Grupo,Acqustic,"Pop, Rock, Alternative",Developing,Steady,8373,190154,0.044033,,39,325958,5747
657147,RoEnLaRed,España,,,Unknown Association,"Pop, Dance, Hip-Hop/Rap",Developing,Growth,29886,601,49.727121,,2,78572,126
5436813,TTM Prod,España,,,Rapport Digital Music,"Latin Hip-Hop/Rap, Flamenco, Latin",Developing,Steady,811,157314,0.005155,,41,432604,7595
1624001,Mabbi,España,He/Him,Artistas solistas,Mabbi,"Latin Hip-Hop/Rap, Latin Pop, R&B/Soul, Latin",Developing,Steady,10437,143064,0.072953,,36,1329927,19202
449718,Raúl Rodríguez,España,He/Him,Artistas solistas,Unknown Association,"Flamenco, Latin Pop, Latin",Developing,Growth,3120,24449,0.127613,,24,932287,3464
111626,Leo Jiménez,España,They/Them,Grupo,"Maldito Records, S.L.","Latin Rock, Metal, Latin",Developing,Steady,77804,154844,0.502467,,36,233853,2121
3989930,mauvetrip,España,He/Him,Artistas solistas,Unknown Association,"Hip-Hop/Rap, Pop, Alternative",Developing,Steady,717,165323,0.004337,,37,408264,3859
213614,Bertin Osborne,España,He/Him,Artistas solistas,SME (Sony Music Entertainment),"Latin Pop, Latin",Developing,Growth,30161,99236,0.303932,,35,946908,4631
220111,Astarot,España,They/Them,Grupo,Lanzadera Music,"Latin Rock, Latin",Developing,Growth,3290,3097,1.062318,,11,23479,449
148947,Nach Scratch,España,,,Unknown Association,"Latin Hip-Hop/Rap, Latin",Developing,Growth,151184,77259,1.956846,,31,535206,3401
30823,Els Pets,España,They/Them,Grupo,RGB Suports,"Latin Pop, Latin Rock, Latin",Developing,Growth,76066,129520,0.587292,,39,643350,7764
212324,Abel Ramos,España,He/Him,Artistas solistas,Juicy Music Group,"Electronic, House, Dance",Developing,Steady,8130,67589,0.120286,,26,1896613,7339
276444,Carlos Cano,España,He/Him,Artistas solistas,Carlos Cano INC,"Latin Pop, Singer/Songwriter, Latin Hip-Hop/Rap, Latin",Developing,Growth,107284,77323,1.387478,,35,471281,3378
1672464,Fresquito,España,,,BMG,"Latin Pop, Alternative, Indie Pop, Latin",Developing,Growth,13406,143995,0.0931,,37,1387544,15539
5444782,Red Sky At Night,España,They/Them,Artistas solistas,Unknown Association,Others,Developing,Growth,,,,,,18,1
165111,La Shica,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Flamenco, Latin",Developing,Steady,14244,16969,0.839413,,25,310689,2794
495702,Original Juan,España,,,Unknown Association,"Latin Hip-Hop/Rap, Latin",Developing,Growth,70904,112717,0.629044,,39,366614,9134
477926,Amparo Bravo,España,,,Unknown Association,Others,,,,,,,,310020,1005
183522,Joselito,España,,,Etnica edizioni,"Latin Pop, Latin Classical, Latin, Electronic",Developing,Growth,32095,102494,0.31314,,32,737917,4300
6413171,Gacabe & Jecabe,España,They/Them,Grupo,Gacabe & Jecabe,"Hip-Hop/Rap, Electronic, Dance",Developing,Steady,6559,96279,0.068125,,33,323617,1918
472592,Mowlihawk,España,,,Unknown Association,"Latin Hip-Hop/Rap, Latin Pop, Latin",Developing,Growth,1998,2290,0.872489,,9,62452,647
