Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
209296,Le Parody,España,She/Her,Artistas solistas,"Born! Music, Breaking Bass Records","Pop, Electronic, Alternative",Developing,Steady,10415.0,355590.0,0.029289,40.0,485717.0,10611.0
3330255,Mercedes Cañas,España,She/Her,Artistas solistas,Mercedes Cañas,"Latin Pop, Flamenco, Latin",Developing,Steady,24987.0,351922.0,0.071002,45.0,178661.0,4341.0
97487,Pasión Vega,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Developing,Growth,76442.0,329313.0,0.232126,39.0,1757593.0,6743.0
1236894,María Peláe,España,She/Her,Artistas solistas,BMG,"Pop, Folk, Singer/Songwriter",Mid-Level,Growth,59959.0,313179.0,0.191453,45.0,1235792.0,7421.0
4187548,Lu Decker,España,She/Her,Artistas solistas,WMG (Warner Music Spain),"Hip-Hop/Rap, Pop",Mid-Level,Growth,30517.0,313081.0,0.097473,41.0,2563230.0,11901.0
309879,Indara,España,She/Her,Artistas solistas,INDARA OFICIAL,"Flamenco, Latin Pop, Latin Hip-Hop/Rap, Latin",Mid-Level,Steady,28838.0,312298.0,0.092341,45.0,1455949.0,10547.0
924302,Suu,España,She/Her,Grupo,Halley Records,"Pop, Rock, Alternative",Developing,Steady,54834.0,306342.0,0.178996,45.0,2153092.0,18654.0
51597,Alexia Chellun,España,She/Her,Artistas solistas,Alexia Chellun,"Pop, Christian, New Age",Developing,Growth,75219.0,303161.0,0.248116,43.0,2551553.0,30252.0
211215,Cecilia,España,She/Her,Artistas solistas,Vampisoul,"Latin Pop, Latin",Developing,Growth,78202.0,292944.0,0.266952,40.0,5994784.0,7779.0
6581316,Dan Abedrop,España,She/Her,Artistas solistas,"PRODUCCIONES ARTISTICAS SIERRA MADRE, S.L.","Latin Pop, Latin",Developing,Growth,696.0,278542.0,0.002499,37.0,1331944.0,242.0
69812,Shaila Dúrcal,España,She/Her,Artistas solistas,Unknown Association,"Latin Pop, Latin Rock, Latin",Mid-Level,Explosive Growth,166903.0,275231.0,0.606411,40.0,1438507.0,5977.0
847038,Lopes,España,She/Her,Grupo,Lopes,Hip-Hop/Rap,Developing,Growth,69861.0,272273.0,0.256584,44.0,1573579.0,17962.0
1431916,Santa Salut,España,She/Her,Artistas solistas,"Yuukii Records SL, Yuukii Records",Hip-Hop/Rap,Developing,Growth,70034.0,266022.0,0.263264,40.0,1828643.0,16482.0
1403777,Joanna Crass,España,She/Her,Artistas solistas,Soundacer,"Latin Pop, Latin Dance, Latin, Electronic",Developing,Steady,4435.0,252537.0,0.017562,41.0,2015562.0,2769.0
57129,María Isabel,España,She/Her,Artistas solistas,María Isabel,"Latin Pop, Latin Dance, Latin Folk, Latin",Developing,Growth,51351.0,246302.0,0.208488,37.0,1701685.0,9988.0
1776908,Elane,España,She/Her,Artistas solistas,Propaganda Pel Fet!,Hip-Hop/Rap,Developing,Growth,23361.0,245574.0,0.095128,41.0,325347.0,7000.0
3808919,GREX,España,She/Her,Artistas solistas,GREX,"Pop, Rock, Alternative",Developing,Growth,27009.0,241955.0,0.111628,40.0,420623.0,5759.0
3765151,Bart Sunshine,España,She/Her,Artistas solistas,Bart Sunshine,"Classical, New Age",Developing,Growth,4017.0,225067.0,0.017848,41.0,3778118.0,1870.0
567803,Lina Tur Bonet,España,She/Her,Artistas solistas,Unknown Association,"Classical, Instrumental, Orchestral",Developing,Steady,1756.0,219349.0,0.008006,35.0,438287.0,1080.0
723659,Marian Dacal,España,She/Her,Artistas solistas,"Previous Records, UMG (Universal Music Spain)","Pop, Dance, Electronic",Developing,Explosive Growth,1746.0,218720.0,0.007983,36.0,264061.0,1262.0
208385,Soraya,España,She/Her,Artistas solistas,Soraya,"Latin Pop, Latin Dance, R&B/Soul, Latin",Developing,Steady,53247.0,218468.0,0.243729,38.0,2200146.0,12836.0
7593424,KYR4,España,She/Her,Artistas solistas,KYR4,"Latin Hip-Hop/Rap, Latin",Developing,Steady,35311.0,215109.0,0.164154,42.0,852249.0,6882.0
66366,Paco Candela,España,She/Her,Artistas solistas,Candelarte Records,"Flamenco, Latin Pop, Singer/Songwriter, Latin",Developing,Steady,106763.0,200340.0,0.532909,45.0,929245.0,5667.0
8216448,DENNA,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Developing,Growth,15247.0,196893.0,0.077438,41.0,376359.0,1317.0
541216,B Jones,España,She/Her,Artistas solistas,Tomorrowland Music,"Electronic, House, Hip-Hop/Rap",Developing,Steady,12850.0,196376.0,0.065436,39.0,3932734.0,4067.0
214853,María Parrado,España,She/Her,Artistas solistas,DHD RECORDS,"Latin Pop, Latin",Developing,Growth,53129.0,192402.0,0.276135,37.0,986093.0,4956.0
3925200,Ebony Loren,España,She/Her,Artistas solistas,frtyfve,"Pop, R&B/Soul, Hip-Hop/Rap",Developing,Steady,16026.0,192092.0,0.083429,37.0,1477811.0,5452.0
1074512,Chica Sobresalto,España,She/Her,Artistas solistas,El Dromedario Records,"Pop, Indie Pop, Alternative",Developing,Steady,41655.0,179633.0,0.231889,39.0,1699550.0,6651.0
3360343,Sara Socas,España,She/Her,Artistas solistas,Sara Socas distributed by Altafonte,"Hip-Hop/Rap, R&B/Soul, Pop",Mid-Level,Decline,79460.0,179545.0,0.442563,39.0,846094.0,10243.0
9043205,Candela Gómez,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin",Developing,Steady,24956.0,173174.0,0.144109,37.0,904933.0,3687.0
541103,Dama,España,She/Her,Artistas solistas,Ockam Records,"Bachata, Latin Dance, Salsa",Developing,Steady,11270.0,172167.0,0.06546,39.0,1870933.0,8587.0
303008,Nya de la Rubia,España,She/Her,Artistas solistas,Altafonte,"Flamenco, Latin Pop, Latin Folk, Latin",Developing,Steady,15244.0,169109.0,0.090143,35.0,501992.0,3515.0
1408062,Ainoa Buitrago,España,She/Her,Artistas solistas,WMG (Warner Music Spain),"Latin Pop, Alternative, Singer/Songwriter, Latin",Developing,Steady,16488.0,166598.0,0.098969,35.0,2380045.0,8574.0
448586,Martirio,España,She/Her,Artistas solistas,Distrokid,"Latin Pop, Flamenco, Jazz, Latin",Developing,Steady,29541.0,159629.0,0.18506,34.0,1812843.0,8101.0
104874,Lola Flores,España,She/Her,Artistas solistas,Discophon,"Flamenco, Latin",Developing,Steady,147063.0,158006.0,0.930743,36.0,1420452.0,8374.0
316969,Los Zigarros,España,She/Her,Artistas solistas,Cultura Rock Records,"Latin Rock, Latin Pop, Punk, Latin",Developing,Steady,46908.0,157817.0,0.29723,42.0,1016099.0,5090.0
60782,Rocío Márquez,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Flamenco, Latin",Developing,Steady,20314.0,156362.0,0.129916,34.0,1203075.0,7427.0
3984277,Antonio Hernandez,España,She/Her,Artistas solistas,Antonio Hernandez,"Latin Hip-Hop/Rap, Flamenco, Latin",Developing,Steady,3763.0,151417.0,0.024852,36.0,929746.0,4586.0
316938,Russian Red,España,She/Her,Artistas solistas,Sonido Muchacho,"Pop, Rock, Alternative",Mid-Level,Steady,191082.0,150727.0,1.267736,37.0,3416820.0,17677.0
3633734,Sandra Iris,España,She/Her,Artistas solistas,2023 Sandra Iris,"Pop, Rock, Alternative",Developing,Growth,1567.0,144889.0,0.010815,35.0,3685312.0,763.0
80538,Tamara,España,She/Her,Artistas solistas,Tamara,"Latin Pop, Latin",Developing,Growth,162106.0,132663.0,1.221938,39.0,964515.0,7444.0
400271,Soleá Morente,España,She/Her,Artistas solistas,Elefant Records,"Latin Pop, Flamenco, Latin",Developing,Steady,18722.0,128378.0,0.145835,37.0,1558342.0,8282.0
3554754,Malva Vela,España,She/Her,Artistas solistas,Malva Vela,"Pop, Flamenco, Alternative",Developing,Growth,5583.0,126568.0,0.044111,34.0,447537.0,2494.0
